geo_level,geo_code,geo_name,date_monday,year_iso,week_iso_num,pathogen,pathogentype,pathogensubtype,indicator,age,survtype,indicator_kind,value
FR,FR,France,2023-01-09,2023,2,Influenza,Influenza B,total,detections,total,primary care sentinel,count,20.0
FR,FR,France,2023-01-02,2023,1,Influenza,Influenza A,total,detections,total,primary care sentinel,count,50.0
FR,FR,France,2023-01-02,2023,1,Influenza,Influenza B,total,detections,total,primary care sentinel,count,15.0
FR,FR,France,2023-01-09,2023,2,Influenza,Influenza A,total,detections,total,primary care sentinel,count,30.0
FR,FR,France,2023-01-16,2023,3,Influenza,Influenza A,total,detections,total,primary care sentinel,count,31.0
FR,FR,France,2023-01-16,2023,3,Influenza,Influenza B,total,detections,total,primary care sentinel,count,14.0
FR,FR,France,2023-03-06,2023,10,Influenza,Influenza A,total,detections,total,primary care sentinel,count,9.0
FR,FR,France,2023-03-06,2023,10,Influenza,Influenza B,total,detections,total,primary care sentinel,count,58.0
FR,FR,France,2023-03-13,2023,11,Influenza,Influenza B,total,detections,total,primary care sentinel,count,43.0
FR,FR,France,2023-03-20,2023,12,Influenza,Influenza A,total,detections,total,primary care sentinel,count,1.0
FR,FR,France,2023-03-20,2023,12,Influenza,Influenza B,total,detections,total,primary care sentinel,count,36.0
FR,FR,France,2023-03-13,2023,11,Influenza,Influenza A,total,detections,total,primary care sentinel,count,6.0
FR,FR,France,2023-02-13,2023,7,Influenza,Influenza A,total,detections,total,primary care sentinel,count,19.0
FR,FR,France,2023-02-13,2023,7,Influenza,Influenza B,total,detections,total,primary care sentinel,count,43.0
FR,FR,France,2023-02-20,2023,8,Influenza,Influenza B,total,detections,total,primary care sentinel,count,58.0
FR,FR,France,2023-02-27,2023,9,Influenza,Influenza A,total,detections,total,primary care sentinel,count,10.0
FR,FR,France,2023-02-27,2023,9,Influenza,Influenza B,total,detections,total,primary care sentinel,count,38.0
FR,FR,France,2023-02-20,2023,8,Influenza,Influenza A,total,detections,total,primary care sentinel,count,11.0
FR,FR,France,2022-11-07,2022,45,Influenza,Influenza A,total,detections,total,primary care sentinel,count,4.0
FR,FR,France,2022-11-07,2022,45,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2022-10-31,2022,44,Influenza,Influenza A,total,detections,total,primary care sentinel,count,10.0
FR,FR,France,2022-10-31,2022,44,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2022-11-14,2022,46,Influenza,Influenza A,total,detections,total,primary care sentinel,count,16.0
FR,FR,France,2022-11-14,2022,46,Influenza,Influenza B,total,detections,total,primary care sentinel,count,2.0
FR,FR,France,2022-10-10,2022,41,Influenza,Influenza A,total,detections,total,primary care sentinel,count,9.0
FR,FR,France,2022-10-10,2022,41,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2022-10-17,2022,42,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2022-10-17,2022,42,Influenza,Influenza A,total,detections,total,primary care sentinel,count,13.0
FR,FR,France,2022-10-24,2022,43,Influenza,Influenza A,total,detections,total,primary care sentinel,count,11.0
FR,FR,France,2022-10-24,2022,43,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2022-11-21,2022,47,Influenza,Influenza B,total,detections,total,primary care sentinel,count,4.0
FR,FR,France,2022-11-21,2022,47,Influenza,Influenza A,total,detections,total,primary care sentinel,count,38.0
FR,FR,France,2022-12-19,2022,51,Influenza,Influenza A,total,detections,total,primary care sentinel,count,147.0
FR,FR,France,2022-12-19,2022,51,Influenza,Influenza B,total,detections,total,primary care sentinel,count,8.0
FR,FR,France,2022-12-12,2022,50,Influenza,Influenza A,total,detections,total,primary care sentinel,count,140.0
FR,FR,France,2022-12-26,2022,52,Influenza,Influenza A,total,detections,total,primary care sentinel,count,58.0
FR,FR,France,2022-12-26,2022,52,Influenza,Influenza B,total,detections,total,primary care sentinel,count,11.0
FR,FR,France,2022-12-12,2022,50,Influenza,Influenza B,total,detections,total,primary care sentinel,count,10.0
FR,FR,France,2022-11-28,2022,48,Influenza,Influenza A,total,detections,total,primary care sentinel,count,56.0
FR,FR,France,2022-11-28,2022,48,Influenza,Influenza B,total,detections,total,primary care sentinel,count,6.0
FR,FR,France,2022-12-05,2022,49,Influenza,Influenza A,total,detections,total,primary care sentinel,count,86.0
FR,FR,France,2022-12-05,2022,49,Influenza,Influenza B,total,detections,total,primary care sentinel,count,8.0
FR,FR,France,2023-08-28,2023,35,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-08-28,2023,35,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-08-21,2023,34,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-08-21,2023,34,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-09-11,2023,37,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-09-11,2023,37,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-09-04,2023,36,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-09-04,2023,36,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-08-14,2023,33,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-08-14,2023,33,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-07-24,2023,30,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-07-24,2023,30,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-07-17,2023,29,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-07-17,2023,29,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-07-10,2023,28,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-07-10,2023,28,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-08-07,2023,32,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-08-07,2023,32,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-07-31,2023,31,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-07-31,2023,31,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-10-23,2023,43,Influenza,Influenza A,total,detections,total,primary care sentinel,count,1.0
FR,FR,France,2023-10-23,2023,43,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-10-16,2023,42,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-10-16,2023,42,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-10-30,2023,44,Influenza,Influenza A,total,detections,total,primary care sentinel,count,2.0
FR,FR,France,2023-10-30,2023,44,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-09-25,2023,39,Influenza,Influenza A,total,detections,total,primary care sentinel,count,1.0
FR,FR,France,2023-09-25,2023,39,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-09-18,2023,38,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-09-18,2023,38,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-10-09,2023,41,Influenza,Influenza A,total,detections,total,primary care sentinel,count,1.0
FR,FR,France,2023-10-09,2023,41,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-10-02,2023,40,Influenza,Influenza A,total,detections,total,primary care sentinel,count,1.0
FR,FR,France,2023-10-02,2023,40,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-04-24,2023,17,Influenza,Influenza A,total,detections,total,primary care sentinel,count,1.0
FR,FR,France,2023-04-24,2023,17,Influenza,Influenza B,total,detections,total,primary care sentinel,count,5.0
FR,FR,France,2023-04-17,2023,16,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-04-17,2023,16,Influenza,Influenza B,total,detections,total,primary care sentinel,count,7.0
FR,FR,France,2023-05-08,2023,19,Influenza,Influenza B,total,detections,total,primary care sentinel,count,1.0
FR,FR,France,2023-05-01,2023,18,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-05-01,2023,18,Influenza,Influenza B,total,detections,total,primary care sentinel,count,3.0
FR,FR,France,2023-04-03,2023,14,Influenza,Influenza B,total,detections,total,primary care sentinel,count,15.0
FR,FR,France,2023-03-27,2023,13,Influenza,Influenza A,total,detections,total,primary care sentinel,count,2.0
FR,FR,France,2023-03-27,2023,13,Influenza,Influenza B,total,detections,total,primary care sentinel,count,22.0
FR,FR,France,2023-04-03,2023,14,Influenza,Influenza A,total,detections,total,primary care sentinel,count,1.0
FR,FR,France,2023-04-10,2023,15,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-04-10,2023,15,Influenza,Influenza B,total,detections,total,primary care sentinel,count,11.0
FR,FR,France,2023-05-08,2023,19,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-06-19,2023,25,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-06-19,2023,25,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-06-12,2023,24,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-06-12,2023,24,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-07-03,2023,27,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-07-03,2023,27,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-06-26,2023,26,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-06-26,2023,26,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-05-22,2023,21,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-05-22,2023,21,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-05-15,2023,20,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-05-15,2023,20,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-06-05,2023,23,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-06-05,2023,23,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-05-29,2023,22,Influenza,Influenza A,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-05-29,2023,22,Influenza,Influenza B,total,detections,total,primary care sentinel,count,0.0
FR,FR,France,2023-08-14,2023,33,Influenza,Influenza B,total,detections,total,non-sentinel,count,1.0
FR,FR,France,2023-08-07,2023,32,Influenza,Influenza A,total,detections,total,non-sentinel,count,3.0
FR,FR,France,2023-07-31,2023,31,Influenza,Influenza A,total,detections,total,non-sentinel,count,2.0
FR,FR,France,2023-07-31,2023,31,Influenza,Influenza B,total,detections,total,non-sentinel,count,1.0
FR,FR,France,2023-08-07,2023,32,Influenza,Influenza B,total,detections,total,non-sentinel,count,1.0
FR,FR,France,2023-08-14,2023,33,Influenza,Influenza A,total,detections,total,non-sentinel,count,7.0
FR,FR,France,2023-08-28,2023,35,Influenza,Influenza A,total,detections,total,non-sentinel,count,13.0
FR,FR,France,2023-08-28,2023,35,Influenza,Influenza B,total,detections,total,non-sentinel,count,1.0
FR,FR,France,2023-08-21,2023,34,Influenza,Influenza A,total,detections,total,non-sentinel,count,14.0
FR,FR,France,2023-08-21,2023,34,Influenza,Influenza B,total,detections,total,non-sentinel,count,2.0
FR,FR,France,2023-07-03,2023,27,Influenza,Influenza A,total,detections,total,non-sentinel,count,5.0
FR,FR,France,2023-07-03,2023,27,Influenza,Influenza B,total,detections,total,non-sentinel,count,1.0
FR,FR,France,2023-06-26,2023,26,Influenza,Influenza A,total,detections,total,non-sentinel,count,6.0
FR,FR,France,2023-06-26,2023,26,Influenza,Influenza B,total,detections,total,non-sentinel,count,1.0
FR,FR,France,2023-07-24,2023,30,Influenza,Influenza A,total,detections,total,non-sentinel,count,11.0
FR,FR,France,2023-07-24,2023,30,Influenza,Influenza B,total,detections,total,non-sentinel,count,6.0
FR,FR,France,2023-07-17,2023,29,Influenza,Influenza A,total,detections,total,non-sentinel,count,15.0
FR,FR,France,2023-07-17,2023,29,Influenza,Influenza B,total,detections,total,non-sentinel,count,8.0
FR,FR,France,2023-07-10,2023,28,Influenza,Influenza A,total,detections,total,non-sentinel,count,13.0
FR,FR,France,2023-07-10,2023,28,Influenza,Influenza B,total,detections,total,non-sentinel,count,0.0
FR,FR,France,2023-06-19,2023,25,Influenza,Influenza A,total,detections,total,non-sentinel,count,4.0
FR,FR,France,2023-06-19,2023,25,Influenza,Influenza B,total,detections,total,non-sentinel,count,7.0
FR,FR,France,2023-05-01,2023,18,Influenza,Influenza A,total,detections,total,non-sentinel,count,17.0
FR,FR,France,2023-05-01,2023,18,Influenza,Influenza B,total,detections,total,non-sentinel,count,28.0
FR,FR,France,2023-05-08,2023,19,Influenza,Influenza A,total,detections,total,non-sentinel,count,13.0
FR,FR,France,2023-05-08,2023,19,Influenza,Influenza B,total,detections,total,non-sentinel,count,31.0
FR,FR,France,2023-04-17,2023,16,Influenza,Influenza A,total,detections,total,non-sentinel,count,39.0
FR,FR,France,2023-04-17,2023,16,Influenza,Influenza B,total,detections,total,non-sentinel,count,129.0
FR,FR,France,2023-04-24,2023,17,Influenza,Influenza A,total,detections,total,non-sentinel,count,30.0
FR,FR,France,2023-04-24,2023,17,Influenza,Influenza B,total,detections,total,non-sentinel,count,72.0
FR,FR,France,2023-05-15,2023,20,Influenza,Influenza B,total,detections,total,non-sentinel,count,7.0
FR,FR,France,2023-06-05,2023,23,Influenza,Influenza B,total,detections,total,non-sentinel,count,7.0
FR,FR,France,2023-06-05,2023,23,Influenza,Influenza A,total,detections,total,non-sentinel,count,11.0
FR,FR,France,2023-06-12,2023,24,Influenza,Influenza A,total,detections,total,non-sentinel,count,15.0
FR,FR,France,2023-06-12,2023,24,Influenza,Influenza B,total,detections,total,non-sentinel,count,7.0
FR,FR,France,2023-05-22,2023,21,Influenza,Influenza A,total,detections,total,non-sentinel,count,14.0
FR,FR,France,2023-05-22,2023,21,Influenza,Influenza B,total,detections,total,non-sentinel,count,4.0
FR,FR,France,2023-05-15,2023,20,Influenza,Influenza A,total,detections,total,non-sentinel,count,6.0
FR,FR,France,2023-05-29,2023,22,Influenza,Influenza A,total,detections,total,non-sentinel,count,8.0
FR,FR,France,2023-05-29,2023,22,Influenza,Influenza B,total,detections,total,non-sentinel,count,5.0
FR,FR,France,2023-04-10,2023,15,Influenza,Influenza A,total,detections,total,non-sentinel,count,66.0
FR,FR,France,2023-04-10,2023,15,Influenza,Influenza B,total,detections,total,non-sentinel,count,178.0
FR,FR,France,2022-10-03,2022,40,Influenza,Influenza A,total,detections,total,non-sentinel,count,38.0
FR,FR,France,2022-10-03,2022,40,Influenza,Influenza B,total,detections,total,non-sentinel,count,5.0
FR,FR,France,2022-10-17,2022,42,Influenza,Influenza B,total,detections,total,non-sentinel,count,15.0
FR,FR,France,2022-10-10,2022,41,Influenza,Influenza A,total,detections,total,non-sentinel,count,67.0
FR,FR,France,2022-10-10,2022,41,Influenza,Influenza B,total,detections,total,non-sentinel,count,7.0
FR,FR,France,2022-09-19,2022,38,Influenza,Influenza A,total,detections,total,non-sentinel,count,28.0
FR,FR,France,2022-09-19,2022,38,Influenza,Influenza B,total,detections,total,non-sentinel,count,7.0
FR,FR,France,2022-09-26,2022,39,Influenza,Influenza A,total,detections,total,non-sentinel,count,42.0
FR,FR,France,2022-09-26,2022,39,Influenza,Influenza B,total,detections,total,non-sentinel,count,10.0
FR,FR,France,2022-10-17,2022,42,Influenza,Influenza A,total,detections,total,non-sentinel,count,78.0
FR,FR,France,2022-11-07,2022,45,Influenza,Influenza A,total,detections,total,non-sentinel,count,151.0
FR,FR,France,2022-11-07,2022,45,Influenza,Influenza B,total,detections,total,non-sentinel,count,27.0
FR,FR,France,2022-11-14,2022,46,Influenza,Influenza A,total,detections,total,non-sentinel,count,282.0
FR,FR,France,2022-11-14,2022,46,Influenza,Influenza B,total,detections,total,non-sentinel,count,25.0
FR,FR,France,2022-10-24,2022,43,Influenza,Influenza A,total,detections,total,non-sentinel,count,110.0
FR,FR,France,2022-10-24,2022,43,Influenza,Influenza B,total,detections,total,non-sentinel,count,15.0
FR,FR,France,2022-10-31,2022,44,Influenza,Influenza A,total,detections,total,non-sentinel,count,93.0
FR,FR,France,2022-10-31,2022,44,Influenza,Influenza B,total,detections,total,non-sentinel,count,22.0
FR,FR,France,2022-07-25,2022,30,Influenza,Influenza A,total,detections,total,non-sentinel,count,12.0
FR,FR,France,2022-07-25,2022,30,Influenza,Influenza B,total,detections,total,non-sentinel,count,0.0
FR,FR,France,2022-08-01,2022,31,Influenza,Influenza A,total,detections,total,non-sentinel,count,11.0
FR,FR,France,2022-08-01,2022,31,Influenza,Influenza B,total,detections,total,non-sentinel,count,2.0
FR,FR,France,2022-07-04,2022,27,Influenza,Influenza A,total,detections,total,non-sentinel,count,4.0
FR,FR,France,2022-07-04,2022,27,Influenza,Influenza B,total,detections,total,non-sentinel,count,0.0
FR,FR,France,2022-07-18,2022,29,Influenza,Influenza B,total,detections,total,non-sentinel,count,1.0
FR,FR,France,2022-07-11,2022,28,Influenza,Influenza A,total,detections,total,non-sentinel,count,7.0
FR,FR,France,2022-07-11,2022,28,Influenza,Influenza B,total,detections,total,non-sentinel,count,1.0
FR,FR,France,2022-07-18,2022,29,Influenza,Influenza A,total,detections,total,non-sentinel,count,10.0
FR,FR,France,2022-08-29,2022,35,Influenza,Influenza A,total,detections,total,non-sentinel,count,12.0
FR,FR,France,2022-08-29,2022,35,Influenza,Influenza B,total,detections,total,non-sentinel,count,0.0
FR,FR,France,2022-09-05,2022,36,Influenza,Influenza B,total,detections,total,non-sentinel,count,2.0
FR,FR,France,2022-09-12,2022,37,Influenza,Influenza A,total,detections,total,non-sentinel,count,32.0
FR,FR,France,2022-09-12,2022,37,Influenza,Influenza B,total,detections,total,non-sentinel,count,2.0
FR,FR,France,2022-09-05,2022,36,Influenza,Influenza A,total,detections,total,non-sentinel,count,20.0
FR,FR,France,2022-08-08,2022,32,Influenza,Influenza A,total,detections,total,non-sentinel,count,12.0
FR,FR,France,2022-08-08,2022,32,Influenza,Influenza B,total,detections,total,non-sentinel,count,1.0
FR,FR,France,2022-08-15,2022,33,Influenza,Influenza B,total,detections,total,non-sentinel,count,4.0
FR,FR,France,2022-11-21,2022,47,Influenza,Influenza B,total,detections,total,non-sentinel,count,52.0
FR,FR,France,2022-08-22,2022,34,Influenza,Influenza A,total,detections,total,non-sentinel,count,18.0
FR,FR,France,2022-08-22,2022,34,Influenza,Influenza B,total,detections,total,non-sentinel,count,1.0
FR,FR,France,2022-08-15,2022,33,Influenza,Influenza A,total,detections,total,non-sentinel,count,29.0
FR,FR,France,2022-11-21,2022,47,Influenza,Influenza A,total,detections,total,non-sentinel,count,506.0
FR,FR,France,2023-02-20,2023,8,Influenza,Influenza A,total,detections,total,non-sentinel,count,550.0
FR,FR,France,2023-02-20,2023,8,Influenza,Influenza B,total,detections,total,non-sentinel,count,1006.0
FR,FR,France,2023-02-27,2023,9,Influenza,Influenza A,total,detections,total,non-sentinel,count,323.0
FR,FR,France,2023-02-27,2023,9,Influenza,Influenza B,total,detections,total,non-sentinel,count,721.0
FR,FR,France,2023-03-06,2023,10,Influenza,Influenza B,total,detections,total,non-sentinel,count,660.0
FR,FR,France,2023-02-06,2023,6,Influenza,Influenza A,total,detections,total,non-sentinel,count,925.0
FR,FR,France,2023-02-06,2023,6,Influenza,Influenza B,total,detections,total,non-sentinel,count,828.0
FR,FR,France,2023-02-13,2023,7,Influenza,Influenza A,total,detections,total,non-sentinel,count,988.0
FR,FR,France,2023-02-13,2023,7,Influenza,Influenza B,total,detections,total,non-sentinel,count,1138.0
FR,FR,France,2023-03-06,2023,10,Influenza,Influenza A,total,detections,total,non-sentinel,count,285.0
FR,FR,France,2023-03-27,2023,13,Influenza,Influenza A,total,detections,total,non-sentinel,count,91.0
FR,FR,France,2023-03-27,2023,13,Influenza,Influenza B,total,detections,total,non-sentinel,count,332.0
FR,FR,France,2023-04-03,2023,14,Influenza,Influenza A,total,detections,total,non-sentinel,count,122.0
FR,FR,France,2023-04-03,2023,14,Influenza,Influenza B,total,detections,total,non-sentinel,count,247.0
FR,FR,France,2023-03-13,2023,11,Influenza,Influenza A,total,detections,total,non-sentinel,count,175.0
FR,FR,France,2023-03-13,2023,11,Influenza,Influenza B,total,detections,total,non-sentinel,count,642.0
FR,FR,France,2023-03-20,2023,12,Influenza,Influenza A,total,detections,total,non-sentinel,count,136.0
FR,FR,France,2023-03-20,2023,12,Influenza,Influenza B,total,detections,total,non-sentinel,count,515.0
FR,FR,France,2023-01-30,2023,5,Influenza,Influenza A,total,detections,total,non-sentinel,count,838.0
FR,FR,France,2022-12-12,2022,50,Influenza,Influenza B,total,detections,total,non-sentinel,count,216.0
FR,FR,France,2022-12-12,2022,50,Influenza,Influenza A,total,detections,total,non-sentinel,count,3533.0
